epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5853,3.16648,7.76944,1.49013,0,0,0,0,2.71912,5.74013,1.19347,0.0002375,0.0002375,0.0002375
2,39.8698,2.79283,5.81565,1.18901,0,0,0,0,2.48993,5.24268,1.0854,0.000477848,0.000477848,0.000477848
3,63.2642,2.62792,4.75636,1.07235,0.37282,0.00215,0.0021,0.00104,2.53332,5.07299,1.08549,0.000708295,0.000708295,0.000708295
4,86.3135,2.47973,4.08858,1.02336,0.88114,0.01535,0.08708,0.03828,2.36649,4.21206,1.04585,0.000928842,0.000928842,0.000928842
5,108.244,2.42533,3.48335,1.01512,0.50261,0.15841,0.16907,0.07817,2.31979,3.35732,1.05035,0.00113949,0.00113949,0.00113949
6,132.469,2.2628,3.06178,0.98096,0.52762,0.30625,0.22105,0.09853,2.26513,2.78953,1.01957,0.00112625,0.00112625,0.00112625
7,154.424,2.22736,2.81046,0.97165,0.51743,0.33744,0.22359,0.10309,2.17632,2.44589,0.99595,0.0011015,0.0011015,0.0011015
8,178.876,2.16161,2.61768,0.98122,0.27945,0.3704,0.242,0.10397,2.19858,2.1964,1.01786,0.00107675,0.00107675,0.00107675
9,202.733,2.10015,2.47479,0.96508,0.5465,0.45218,0.283,0.13095,2.0069,2.01198,0.95347,0.001052,0.001052,0.001052
10,224.987,2.05233,2.26783,0.94673,0.54261,0.449,0.28197,0.13787,1.97164,2.00714,0.94517,0.00102725,0.00102725,0.00102725
11,248.011,2.10816,2.24824,0.94796,0.57506,0.44687,0.30227,0.14784,1.93795,1.87534,0.94284,0.0010025,0.0010025,0.0010025
12,270.687,1.97953,2.09984,0.94443,0.61268,0.44811,0.33495,0.16014,1.93867,1.86664,0.94026,0.00097775,0.00097775,0.00097775
13,295.152,1.96236,2.00384,0.94315,0.58146,0.49374,0.341,0.16714,1.93369,1.81646,0.94174,0.000953,0.000953,0.000953
14,316.015,1.99536,2.03147,0.93414,0.39356,0.49872,0.32189,0.12733,2.10435,2.04811,0.95743,0.00092825,0.00092825,0.00092825
15,338.886,1.96475,1.93444,0.92192,0.60285,0.38736,0.28539,0.09866,2.34368,1.99108,0.98385,0.0009035,0.0009035,0.0009035
16,360.442,1.8809,1.74147,0.92409,0.65112,0.44457,0.36282,0.15333,2.01856,1.77011,0.94625,0.00087875,0.00087875,0.00087875
17,384.064,1.88381,1.71391,0.91646,0.63011,0.50475,0.36934,0.17593,1.8768,1.71184,0.93388,0.000854,0.000854,0.000854
18,407.039,1.88605,1.65094,0.91086,0.45263,0.54483,0.36972,0.17896,1.84541,1.65404,0.93773,0.00082925,0.00082925,0.00082925
19,428.917,1.77911,1.54531,0.91042,0.48614,0.5693,0.3927,0.19271,1.80691,1.71632,0.92848,0.0008045,0.0008045,0.0008045
20,452.936,1.86261,1.61711,0.91702,0.51854,0.57252,0.40163,0.19418,1.83926,1.62769,0.93629,0.00077975,0.00077975,0.00077975
