filename,width,height,class,xmin,ymin,xmax,ymax
01_missing_hole_01,3034,1586,Missing_hole,2459,1274,2529,1328
01_missing_hole_01,3034,1586,Missing_hole,1613,334,1678,396
01_missing_hole_01,3034,1586,Missing_hole,1726,793,1797,853
01_missing_hole_02,3034,1586,Missing_hole,2584,232,2650,297
01_missing_hole_02,3034,1586,Missing_hole,2366,803,2406,859
01_missing_hole_02,3034,1586,Missing_hole,1506,802,1559,856
01_missing_hole_03,3034,1586,Missing_hole,2650,486,2699,530
01_missing_hole_03,3034,1586,Missing_hole,1342,748,1392,795
01_missing_hole_03,3034,1586,Missing_hole,2081,582,2135,620
01_missing_hole_04,3034,1586,Missing_hole,1619,225,1672,277
01_missing_hole_04,3034,1586,Missing_hole,337,753,386,813
01_missing_hole_04,3034,1586,Missing_hole,217,1009,277,1067
01_missing_hole_05,3034,1586,Missing_hole,803,297,859,364
01_missing_hole_05,3034,1586,Missing_hole,279,294,352,374
01_missing_hole_05,3034,1586,Missing_hole,1067,1051,1109,1107
01_missing_hole_05,3034,1586,Missing_hole,1613,391,1677,459
01_missing_hole_06,3034,1586,Missing_hole,1445,479,1504,541
01_missing_hole_06,3034,1586,Missing_hole,1326,1203,1386,1268
01_missing_hole_06,3034,1586,Missing_hole,2070,799,2140,859
01_missing_hole_07,3034,1586,Missing_hole,1736,340,1792,394
01_missing_hole_07,3034,1586,Missing_hole,1389,1041,1470,1121
01_missing_hole_07,3034,1586,Missing_hole,2579,238,2648,294
01_missing_hole_08,3034,1586,Missing_hole,2756,699,2816,766
01_missing_hole_08,3034,1586,Missing_hole,2636,1336,2700,1390
01_missing_hole_08,3034,1586,Missing_hole,482,1125,539,1183
01_missing_hole_09,3034,1586,Missing_hole,1221,619,1292,688
01_missing_hole_09,3034,1586,Missing_hole,482,1117,539,1179
01_missing_hole_09,3034,1586,Missing_hole,162,482,222,542
01_missing_hole_10,3034,1586,Missing_hole,1624,401,1672,453
01_missing_hole_10,3034,1586,Missing_hole,330,750,387,816
01_missing_hole_10,3034,1586,Missing_hole,866,622,914,681
01_missing_hole_11,3034,1586,Missing_hole,2073,684,2146,751
01_missing_hole_11,3034,1586,Missing_hole,1500,735,1558,799
01_missing_hole_11,3034,1586,Missing_hole,481,843,561,916
01_missing_hole_12,3034,1586,Missing_hole,1062,1046,1117,1112
01_missing_hole_12,3034,1586,Missing_hole,2632,932,2701,989
01_missing_hole_12,3034,1586,Missing_hole,2459,1219,2528,1275
01_missing_hole_13,3034,1586,Missing_hole,1384,295,1459,361
01_missing_hole_13,3034,1586,Missing_hole,1340,737,1397,801
01_missing_hole_13,3034,1586,Missing_hole,707,619,767,683
01_missing_hole_14,3034,1586,Missing_hole,2294,640,2358,712
01_missing_hole_14,3034,1586,Missing_hole,159,750,219,812
01_missing_hole_14,3034,1586,Missing_hole,863,623,917,679
01_missing_hole_15,3034,1586,Missing_hole,2075,1033,2139,1086
01_missing_hole_15,3034,1586,Missing_hole,2470,1105,2526,1157
01_missing_hole_15,3034,1586,Missing_hole,2076,514,2135,572
01_missing_hole_16,3034,1586,Missing_hole,1498,729,1558,794
01_missing_hole_16,3034,1586,Missing_hole,643,720,701,783
01_missing_hole_16,3034,1586,Missing_hole,2516,698,2583,763
01_missing_hole_17,3034,1586,Missing_hole,917,292,984,369
01_missing_hole_17,3034,1586,Missing_hole,480,1122,538,1190
01_missing_hole_17,3034,1586,Missing_hole,1724,1082,1789,1146
01_missing_hole_18,3034,1586,Missing_hole,2188,914,2250,980
01_missing_hole_18,3034,1586,Missing_hole,1159,1199,1219,1253
01_missing_hole_18,3034,1586,Missing_hole,1731,1151,1791,1203
01_missing_hole_19,3034,1586,Missing_hole,1394,737,1450,802
01_missing_hole_19,3034,1586,Missing_hole,339,752,388,814
01_missing_hole_19,3034,1586,Missing_hole,167,572,227,638
01_missing_hole_20,3034,1586,Missing_hole,2634,1102,2694,1160
01_missing_hole_20,3034,1586,Missing_hole,228,574,275,628
01_missing_hole_20,3034,1586,Missing_hole,2527,227,2587,302
04_missing_hole_01,3056,2464,Missing_hole,2138,752,2188,823
04_missing_hole_01,3056,2464,Missing_hole,2117,1590,2171,1646
04_missing_hole_01,3056,2464,Missing_hole,1401,954,1463,1032
04_missing_hole_02,3056,2464,Missing_hole,1876,757,1929,815
04_missing_hole_02,3056,2464,Missing_hole,997,758,1054,816
04_missing_hole_02,3056,2464,Missing_hole,1228,1771,1284,1841
04_missing_hole_03,3056,2464,Missing_hole,2474,1580,2547,1649
04_missing_hole_03,3056,2464,Missing_hole,1279,1294,1350,1380
04_missing_hole_03,3056,2464,Missing_hole,710,1626,774,1712
04_missing_hole_04,3056,2464,Missing_hole,2112,1472,2185,1536
04_missing_hole_04,3056,2464,Missing_hole,2569,1365,2645,1457
04_missing_hole_04,3056,2464,Missing_hole,2563,945,2620,1019
04_missing_hole_05,3056,2464,Missing_hole,1344,1092,1394,1150
04_missing_hole_05,3056,2464,Missing_hole,1816,858,1882,921
04_missing_hole_05,3056,2464,Missing_hole,1888,357,1946,417
04_missing_hole_06,3056,2464,Missing_hole,1173,620,1231,694
04_missing_hole_06,3056,2464,Missing_hole,1460,376,1518,441
04_missing_hole_06,3056,2464,Missing_hole,2170,341,2238,419
04_missing_hole_07,3056,2464,Missing_hole,1744,964,1811,1031
04_missing_hole_07,3056,2464,Missing_hole,1939,345,2011,418
04_missing_hole_07,3056,2464,Missing_hole,2616,339,2683,424
04_missing_hole_08,3056,2464,Missing_hole,1967,1177,2047,1253
