epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.533,3.03888,7.51271,1.38844,0,0,0,0,2.70964,7.78368,1.14387,0.0002375,0.0002375,0.0002375
2,726.706,2.84587,5.59406,1.18175,0,0,0,0,2.66378,6.76995,1.09151,0.000468195,0.000468195,0.000468195
3,1080.71,2.42911,4.48016,1.03213,0.00096,0.10845,0.00673,0.00368,2.35653,5.5774,1.03731,0.00067909,0.00067909,0.00067909
4,1465.64,2.38096,3.83161,1.01454,0.4947,0.0504,0.06447,0.03208,2.25785,4.91693,1.01409,0.000870185,0.000870185,0.000870185
5,1849.82,2.26024,3.27407,0.99548,0.52317,0.16648,0.19617,0.091,2.21948,4.03831,1.01333,0.00104148,0.00104148,0.00104148
6,2226.93,2.18157,2.93361,0.98094,0.51415,0.30487,0.19995,0.0908,2.28828,3.67454,1.01224,0.0010025,0.0010025,0.0010025
7,2594.18,2.17843,2.78801,0.98565,0.48491,0.31469,0.19312,0.08561,2.29635,3.51031,1.02285,0.000953,0.000953,0.000953
8,2983.87,2.03137,2.4478,0.95238,0.50498,0.3986,0.2305,0.10598,2.09834,3.17624,0.97037,0.0009035,0.0009035,0.0009035
9,3369.03,2.09759,2.49069,0.9519,0.48101,0.37413,0.23568,0.10784,2.13533,3.08516,0.96888,0.000854,0.000854,0.000854
10,3752.83,2.01403,2.28424,0.947,0.53562,0.43722,0.26488,0.13056,2.00716,2.89912,0.94508,0.0008045,0.0008045,0.0008045
11,4135.68,1.90097,2.10884,0.92955,0.54573,0.44069,0.28303,0.14489,1.96487,2.75483,0.94064,0.000755,0.000755,0.000755
12,4526.1,1.88536,2.0427,0.92587,0.54097,0.44323,0.26324,0.13226,1.95018,2.70752,0.93149,0.0007055,0.0007055,0.0007055
13,4918.18,2.03504,2.10459,0.94819,0.55254,0.41793,0.28675,0.13048,2.01634,2.70287,0.94196,0.000656,0.000656,0.000656
14,5300.61,1.88508,2.00391,0.91971,0.55515,0.45095,0.30436,0.14926,1.95167,2.56081,0.93783,0.0006065,0.0006065,0.0006065
15,5683.04,1.90635,1.96124,0.91806,0.5957,0.47018,0.34075,0.16008,1.89838,2.4956,0.92513,0.000557,0.000557,0.000557
16,6064.21,1.80378,1.92461,0.93828,0.31888,0.47757,0.34064,0.17011,1.87342,2.48372,0.93111,0.0005075,0.0005075,0.0005075
17,6445.46,1.70711,1.75593,0.91269,0.63106,0.49052,0.37483,0.18433,1.87683,2.36861,0.9216,0.000458,0.000458,0.000458
18,6827.47,1.75124,1.75011,0.93308,0.40166,0.52603,0.35573,0.1454,2.04199,2.52471,0.93792,0.0004085,0.0004085,0.0004085
19,7207.99,1.7107,1.70131,0.90998,0.4529,0.58455,0.39613,0.19391,1.82789,2.30456,0.91426,0.000359,0.000359,0.000359
20,7592.81,1.71898,1.72765,0.91731,0.49104,0.56731,0.37804,0.17931,1.85378,2.25746,0.91539,0.0003095,0.0003095,0.0003095
21,7973.19,1.66244,1.62242,0.90592,0.45938,0.53672,0.38831,0.20022,1.8,2.19951,0.91037,0.00026,0.00026,0.00026
22,8351.47,1.71906,1.6203,0.91041,0.4268,0.60085,0.39768,0.19501,1.82712,2.13888,0.91321,0.0002105,0.0002105,0.0002105
23,8700.72,1.62661,1.53597,0.89265,0.46293,0.55325,0.40061,0.2067,1.78951,2.09234,0.90916,0.000161,0.000161,0.000161
24,9037.22,1.62423,1.51216,0.90398,0.43707,0.61213,0.40527,0.20906,1.78198,2.07044,0.90676,0.0001115,0.0001115,0.0001115
25,9415.48,1.61257,1.52793,0.89712,0.44748,0.61129,0.4054,0.20543,1.79273,2.06153,0.9074,6.2e-05,6.2e-05,6.2e-05
